Question,Answer
Who is a Non-Resident Indian (NRI)?,Non-Resident Indian (NRI) means a 'person resident outside India' who is a citizen of India or is a 'person of Indian origin'.
Who is a 'person resident outside India'?,"Under the Foreign Exchange Management Act,1999 (FEMA), a person who is NOT a 'person resident in India' as defined under Section 2 (v) of the Act is considered a person resident outside India'. The most important change in definition (since FERA 1973) is that the citizenship of a person no longer has a bearing in determination of residential status."
Who is a 'person of Indian origin'?,"'Person of Indian Origin' means a citizen of any country other than Bangladesh or Pakistan, if
he at any time held Indian passport; or
he or either of his parents or any of his grandparents was a citizen of India by virtue of the Constitution of India or the Citizenship Act, 1955; or
the person is a spouse of an Indian citizen or a person referred to in sub-clause (a) or (b)."
What is an 'Overseas Corporate Body' (OCB)?,"'Overseas Corporate Body' means a company, partnership firm, society and other corporate body owned directly or indirectly to the extent of at least sixty per cent by Non-Resident Indians and includes overseas trust in which not less than sixty percent beneficial interest is held by Non-Resident Indians directly or indirectly but irrevocably."
Where can an NRI open a demat account?,NRI can open a demat account with any Depository Participant . The NRI needs to mention the type ('NRI' as compared to 'Resident') and the sub-type ('Repatriable' or 'Non-Repatriable') in the account opening form collected from the Depository Participant.
Does an NRI need any RBI permission to open demat account?,No permission is required from RBI to open a demat account. Holding securities in demat only constitutes change in form and does not need any special permission.
Does NRI requires to take permission for dematerialisation/rematerialisation of securities??,No special permission is required. Holding securities in demat only constitutes change in form and does not need any special permission. Permission taken (where required) at the time of acquiring the securities is adequate.
Can securities purchased under repatriable and non-repatriable category be held in a single demat account?,No. An NRI must open separate demat accounts for holding 'repatriable' and 'non-repatriable' securities.
How does NRI dematerialise securities purchased while he/she was resident?,"As per FEMA rules, NRI must regularize his/her holdings to reflect change of status - in this case, bring them to 'Non-Resident' status. For this, NRI must submit (if not already submitted to the issuing company earlier) a letter addressed to the issuing company along with the Demat Request Form stating change of status and giving details of foreign address."
What are the procedures to be followed in respect of investment in securities in case person resident in India becomes NRI?,"On becoming an NRI, a new depository account with appropriate NRI status is to be opened and all the balances held in account with 'Resident' status should be transferred to the account with NRI status & securites held under this account will be treated on non-repatriable basis."
What are the procedures to be followed in respect of investment in securities in case NRI becomes person resident in India?,"On becoming a resident, a new depository account with appropriate status - 'Resident' in this case - is to be opened and all the balances held in account with 'Non-Resident' status should be transferred to 'Resident' status."
Can a NRI purchase securities by subscribing to an issue? What are the approvals required?,"The issuing company is required to issue shares to NRIs on the basis of specific or general permission from GoI/RBI. Therefore, individual NRI need not obtain any permission."
Can a NRI purchase securities in the secondary market? What are the approvals required in the new FEMA rules?,Purchases made in the secondary market are investments under Portfolio Investment Scheme. Permission to buy in the market is given by authorised dealers under the Portfolio Investment Scheme on repatriable/ non-repatriable basis. The said permission is a one-time general permission.
Does NRI require any permission to subscribe to Rights issue of a company?,No.
Does NRI require any permission to receive bonus shares?,No.
Can an NRI nominate or be nominated in depository account? Whether such nominee can be person resident in India?,Yes.
Can an NRI and person resident in India have a joint demat account?,"Yes. For the purpose of determining ownership of holding, the first holder is taken into account. Hence, even though other joint holders may be persons resident in India, the sale proceeds of such securities can be repatriated in case the first holder is permitted to repatriate funds."
What are the permissions required for off-market transfer of securities?,"From NRI to NRI - No permission From person resident - No permission outside India to person resident in India (Gift) From person resident in - Application to RBI India to person resident by transferor outside India (Gift) From person resident in - Approval from GoI India to person resident and then RBI, if the outside India (Sale) acquisation is on repatriable basis. But if acquisation is on non-repatriable basis, approval only From person resident - RBI Permission outside India to person through form Ts1 resident in India (Sale)."
What type of bank accounts are to be given at the time of account opening and subsequently (by way of change of details)?,"The bank details recorded by the Depository Participant may be used by the issuer of securities to directly credit the dividend or interest. The following bank accounts may be given:
For non-repatriable - NRO [dividend/interest is repatriable] - NRSR [dividend/interest is not repatriable] For repatriable - NRE."
 What is bank? What are the types of banks?,"A bank is a financial institution licensed as a receiver of cash deposits. There are two types of banks, commercial banks and investment banks. In most of the countries, banks are regulated by the national government or central bank."
 What is investment banking?,"Investment banking manages portfolios of financial assets, commodity and currency, fixed income, corporate finance, corporate advisory services for mergers and acquisitions, debt and equity writing etc."
 What is commercial bank?,"Commercial bank is owned by the group of individuals or by a member of Federal Reserve System. The commercial bank offer services to individuals, they are primarily concerned with receiving deposits and lending to business. Such bank earns money by imposing interest on the loan borrowed by the borrower. The money that is deposited by the customer will be used by the bank to give business loan, auto loan, mortgages and home repair loans."
 What are the types of Commercial Banks?,a) Retail or consumer banking
 What is consumer bank?,"Consumer bank is a new addition in the banking sector, such bank exist only in countries like U.S.A and Germany. This bank provides loans to their customer to buy T.V, Car, furniture etc. and give the option of easy payment through instalment."
 What are the types of accounts in banks?,"a) Checking Account: You can access the account as the saving account but, unlike saving account, you cannot earn interest on this account. The benefit of this account is that there is no limit for withdrawal."
 What are the different ways you can operate your accounts?,You can operate your bank accounts in different ways like
 What are the things that you have to keep in concern before opening the bank accounts?,"Before opening a bank account, if it is a saving account, you have to check the interest rate on the deposit and whether the interest rate remains consistent for the period. If you have the checking account, then look for how many cheques are free to use. Some banks may charge you for using paper cheques or ordering new cheque books. Also, check for different debit card option that is provided on opening an account and online banking features."
 What is ‘Crossed Cheque’ ?,"A crossed cheque indicates the amount should be deposited into the payees account and cannot be cashed by the bank over the counter. Here in the image, number#2, you can see two cross-lines on the left side corner of the cheque that indicates crossed cheque."
 What is overdraft protection?,"Overdraft protection is a service that is provided by a bank to their customer. For instance, if you are holding two accounts, saving and credit account, in the same bank. Now if one of your accounts does not have enough cash to process the cheques, or to cover the purchases. The bank will transfer money from one account to another account, which does not have cash so to prevent check return or to clear your shopping or electricity bills."
 Do bank charge for ‘overdraft protection’ service?,"Yes, bank will charge on ‘overdraft protection’ services but the charges will be applicable only when you start using the service."
 What is (APR,"APR stands for Annual Percentage Rate, and it is a charge or interest that the bank imposes on their customers for using their services like loans, credit cards, mortgage loan etc. The interest rate or fees imposed is calculated annually."
 What is ‘prime rate’?,"Basically, ‘prime rate’ is the rate of interest that is decided by nations (U.S.A) largest banks for their preferred customers, having a good credit score. Much ‘variable’ interest depends on the ‘prime rates’. For example, the ‘APR’ (Annual Percentage Rate) on a credit card is 10% plus prime rate, and if the prime rate is 3%, the current ‘APR’ on that credit card would be 13%."
 What is ‘Fixed’ APR and ‘Variable’ APR?,"‘APR’ (Annual Percentage Rate) can be ‘Fixed’ or ‘Variable’ type. In ‘Fixed APR’, the interest rate remains same throughout the term of the loan or mortgage, while in ‘Variable APR’ the interest rate will change without notice, based on the other factors like ‘prime rate’."
 What are the different types of banking software applications are available in the Industry?,There are many types of banking software applications and few are listed below
 What is the ‘cost of debt’?,"When any company borrows funds, from a financial institution (bank) or other resources the interest paid on that amount is known as ‘cost of debt’."
 What is ‘balloon payment’?,"The ‘balloon payment’ is the final lump sum payment that is due. When the entire loan payment is not amortized over the life of the loan, the remaining balance is due as the final repayment to the lender. Balloon payment can occur within an adjustable rate or fixed rate mortgage."
 What is ‘Amortization’?,The repayment of the loan by instalment to cover principal amount with interest is known as ‘Amortization’.
 What is negative Amortization?,"When repayment of the loan is less than the loans accumulated interest, then negative Amortization occurs. It will increase the loan amount instead of decreasing it. It is also known as ‘deferred interest’."
 What is the difference between ‘Cheque’ and ‘Demand draft’?,"Both are used for the transfer of the amount between two accounts of same banks or different bank. ‘Cheque’ is issued by an individual who holds the account in a bank, while ‘Demand draft’ is issued by the bank on request, and will charge you for the service. Also, demand draft cannot be cancelled, while cheques can be cancelled once issued."
 What is debt-to-Income ratio?,The debt-to-income ratio is calculated by dividing a loan applicant’s total debt payment by his gross income.
 What is adjustment credit?,"Adjustment credit is a short-term loan made by the Federal Reserve Bank (U.S) to the commercial bank to maintain reserve requirements and support short term lending, when they are short of cash."
 What do you mean by ‘foreign draft’?,"Foreign draft is an alternative to foreign currency; it is generally used to send money to a foreign country. It can be purchased from the commercial banks, and they will charge according to their banks rules and norms. People opt for ‘foreign draft’ for sending money as this method of sending money is cheaper and safer. It also enables receiver to access the funds quicker than a cheque or cash transfer."
 What is ‘Loan grading’?,"The classification of loan based on various risks and parameters like repayment risk, borrower’s credit history etc. is known as ‘loan grading’. This system places loan on one to six categories, based on the stability and risk associated with the loan."
 What is ‘Credit-Netting’?,"A system to reduce the number of credit checks on financial transaction is known as credit-netting. Such agreement occurs normally between large banks and other financial institutions. It places all the future and current transaction into one agreement, removing the need for credit cheques on each transaction."
 What is ‘Credit Check’?,"A credit check or a credit report is done by the bank on a basis of an individual’s financial credit. It is done in order to make sure that an individual is capable enough of meeting the financial obligation for its business or any other monetary transaction. The credit check is done keeping few aspects in concern like your liabilities, assets, income etc."
 What is inter-bank deposit?,Any deposit that is held by one bank for another bank is known as inter-bank deposit. The bank for which the deposit is being held is referred as the correspondent bank.
 What is ILOC (Irrevocable Letter Of Credit,"It is a letter of credit or a contractual agreement between financial institute (Bank) and the party to which the letter is handed. The ILOC letter cannot be cancelled under any circumstance and, guarantees the payment to the party. It requires the bank to pay against the drafts meeting all the terms of ILOC. It is valid upto the stated period of time. For example, if a small business wanted to contract with an overseas supplier for a specified item they would come to an agreement on the terms of the sale like quality standards and pricing, and ask their respective banks to open a letter of credit for the transaction. The buyer’s bank would forward the letter of credit to the seller’s bank, where the payment terms would be finalized and the shipment would be made."
 What is the difference between bank guarantee and letter of credit?,There is not much difference between bank guarantee and letter of credit as they both take the liability of payment. A bank guarantee contains more risk for a bank than a letter of credit as it is protecting both parties the purchaser and seller.
